,Unnamed: 0,Turnover ;  Total (State) ;  Food retailing ;,Turnover ;  Total (State) ;  Household goods retailing ;,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Total (State) ;  Department stores ;,Turnover ;  Total (State) ;  Other retailing ;,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;",Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  Total (State) ;  Food retailing ;.1,Turnover ;  Total (State) ;  Household goods retailing ;.1,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;.1",Turnover ;  Total (State) ;  Department stores ;.1,Turnover ;  Total (State) ;  Other retailing ;.1,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;.1",Turnover ;  Total (State) ;  Total (Industry) ;.1,Turnover ;  Total (State) ;  Food retailing ;.2,Turnover ;  Total (State) ;  Household goods retailing ;.2,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;.2",Turnover ;  Total (State) ;  Department stores ;.2,Turnover ;  Total (State) ;  Other retailing ;.2,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;.2",Turnover ;  Total (State) ;  Total (Industry) ;.2
0,Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
1,Series Type,Original,Original,Original,Original,Original,Original,Original,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Trend,Trend,Trend,Trend,Trend,Trend,Trend
2,Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
3,Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
4,Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,Series Start,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00,1982-04-01 00:00:00
6,Series End,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00
7,No. Obs,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484
8,Series ID,A3348591K,A3348600A,A3348609W,A3348618X,A3348627A,A3348636C,A3348582J,A3348594T,A3348603J,A3348612K,A3348621L,A3348630R,A3348639K,A3348585R,A3348597X,A3348606R,A3348615T,A3348624V,A3348633W,A3348642X,A3348588W
9,1982-04-01 00:00:00,1162.6,592.3,359.9,460.1,479.1,342.4,3396.4,1167.1,653.5,360.7,479.8,507.9,349.8,3518.7,1173.2,652.9,362.7,482.4,505.1,347.5,3523.4
10,1982-05-01 00:00:00,1150.9,629.6,386.6,502.6,486.1,342.1,3497.9,1178.5,648.6,362.6,489.3,502.3,346.4,3527.7,1181.6,654.2,362,484.2,504.9,346.3,3533.6
11,1982-06-01 00:00:00,1160,607.4,350.5,443.8,467.5,328.7,3357.8,1203.6,655.9,365.1,479.2,506.9,350.8,3561.5,1192.7,655.7,361.9,486.5,504.7,345.8,3547
12,1982-07-01 00:00:00,1206.4,632.4,359.3,459.1,491.1,338.5,3486.8,1209.7,660.5,362,476.5,503.6,341.5,3553.9,1203.1,656.7,361.6,488.6,505.4,345.8,3560.6
13,1982-08-01 00:00:00,1152.5,622.6,325.2,438.4,485.7,331.5,3355.9,1198.8,659.7,359.4,515.3,506,342.7,3581.8,1213.3,656.6,361.9,489.8,505.6,346.4,3573.6
14,1982-09-01 00:00:00,1189.1,622,346.3,465.1,489.9,341.9,3454.3,1217.8,661.5,363.8,485.1,506.4,346.5,3581.2,1223.8,655.7,363.4,488.8,506.2,348.7,3586.7
15,1982-10-01 00:00:00,1247.4,637.8,354.2,452.7,500.9,358.4,3551.5,1242.2,649.6,359.1,482.6,508,354.2,3595.6,1232.8,658.2,366.2,485.6,508.7,353.1,3605.8
16,1982-11-01 00:00:00,1280.7,717.2,403.9,522.9,531.1,374.7,3830.5,1260.5,658.1,375.2,488,509.6,360.3,3651.7,1244.5,667.4,370.7,483.5,513.3,359,3637.7
17,1982-12-01 00:00:00,1483.7,1077,571.4,889.3,725.2,433.1,5179.7,1245.5,670.6,375.9,478.6,518,361.8,3650.4,1258.5,681.1,376.1,484.4,519.3,364,3681
18,1983-01-01 00:00:00,1202.8,615.9,326.5,379.2,491.4,368.6,3384.5,1240.5,702.8,386.1,471.2,525.7,369.3,3695.6,1268.7,695,382,488.8,525.3,367.5,3729.5
19,1983-02-01 00:00:00,1224.2,621.7,298.7,378,499.1,348.1,3369.8,1312.1,712.5,379.2,502.8,536.6,378,3821,1281.4,707,385.9,495.8,530.1,369,3773.4
20,1983-03-01 00:00:00,1332.4,719.1,377.2,472.1,538.7,365.8,3805.3,1293.3,728.6,395.2,502.8,536.8,366.1,3822.8,1289.2,715.7,389.8,503,534.4,368.8,3807.6
21,1983-04-01 00:00:00,1270.9,633.4,412.5,503.4,493.8,351.1,3665.1,1301.1,722.3,424,537.4,536,364.4,3885.2,1298.5,717.6,391.8,507.6,538.6,368.9,3831.1
22,1983-05-01 00:00:00,1251.7,697.9,418.5,510.6,520.8,360.5,3760,1294.4,710.2,390.5,492.5,538.7,366.9,3793.2,1307.3,718.6,395.5,509.7,542.3,369.6,3848.5
23,1983-06-01 00:00:00,1269.3,661.8,383,462.4,507.3,347.1,3630.8,1308.7,713.9,396.3,504.9,546.2,369.4,3839.4,1316.8,717.6,399.2,510,546.6,371.3,3865.1
24,1983-07-01 00:00:00,1292.8,656.9,384,468.3,519.9,364.5,3686.5,1330.7,706.2,402.1,507,549.1,376,3871.1,1328,718.8,402.7,510.3,551.3,373.1,3885.6
25,1983-08-01 00:00:00,1337,711,379.9,458.2,554.2,376,3816.3,1349.7,733.7,406.5,516.3,559.8,379.5,3945.5,1342,722.7,405.1,511.5,556.5,374.9,3912.6
26,1983-09-01 00:00:00,1322.8,690.3,402,482.7,547.9,377.6,3823.4,1353.8,727.1,418.3,507.4,564.6,380.1,3951.4,1355.7,730.9,407.1,513.7,561.7,376.3,3942.9
27,1983-10-01 00:00:00,1355.4,714.6,395.8,485.3,553.5,374.1,3878.7,1362.3,739.8,406.2,526.4,565.4,372.3,3972.3,1365.3,738,408.3,515.8,566,377.6,3971.4
28,1983-11-01 00:00:00,1410.9,815.5,431.7,568.7,594.1,390.6,4211.5,1377.2,744.4,399.1,520.8,567,374.8,3983.3,1371,744.5,410,517.4,569.4,379.6,3996.3
29,1983-12-01 00:00:00,1642.3,1197.8,626,963.7,795.5,459,5684.3,1383.1,750.4,413.6,514.9,572.6,383.1,4017.6,1372.8,749.5,414.6,518.9,572.5,383.4,4018.8
30,1984-01-01 00:00:00,1314.5,684.2,357.6,414.7,538.8,388.8,3698.5,1368.8,771.3,421.1,510.2,576.7,391.2,4039.3,1372.9,751,419.6,521.1,575.8,388.4,4040.1
31,1984-02-01 00:00:00,1335.4,698.5,346,414.5,561.6,377.1,3733.2,1368.9,768.8,421.4,530.7,577.9,393.3,4061.2,1375,748.5,425.5,525.4,578.9,394.4,4061.2
32,1984-03-01 00:00:00,1388.8,746,419,484.7,574.6,397.8,4010.9,1363.1,773.7,444.1,534.2,582.7,401.2,4098.9,1380.4,747.6,430.3,532,582.3,400,4082.3
33,1984-04-01 00:00:00,1346.5,634.7,406.9,487.3,529.7,383.3,3788.4,1402.5,734.3,431,541.8,584.2,403.9,4097.7,1389.4,744.2,431.4,540.5,584.5,404.2,4101.7
34,1984-05-01 00:00:00,1404.3,755,480.9,597.9,590.1,414,4242.3,1400.9,741.8,431.8,546.7,589.5,411.6,4122.3,1399.2,742.5,431.3,550,586.5,406.4,4120.1
35,1984-06-01 00:00:00,1367.6,677.2,403.1,500.4,542.2,381.5,3872.1,1407.2,731.4,419.2,545.1,585.7,404.6,4093.2,1409.2,742.9,430.2,558.7,588.5,407.5,4139.1
36,1984-07-01 00:00:00,1361.6,708.7,411.9,543.4,559.4,393,3978,1428.1,763.3,434.5,592.8,596,408.9,4223.6,1419.2,746.2,430.3,565.7,591.3,408.2,4160.4
37,1984-08-01 00:00:00,1436.7,740.9,414.5,503.4,591.6,409,4096.1,1425.4,750.6,434.1,558.9,589.3,406.8,4165.1,1426.6,753.1,430.9,570.8,595.7,409.1,4184.7
38,1984-09-01 00:00:00,1355.6,679,392.1,522.8,557.2,394.7,3901.4,1427.5,751.1,429.1,579.6,596.6,408.8,4192.8,1434.6,759.8,433.3,574.6,600.5,410.5,4212.1
39,1984-10-01 00:00:00,1462.7,769.3,446.3,556.6,614.5,424.5,4274,1442.8,762.9,440,576.2,608.5,414.3,4244.7,1445.4,763.1,437.6,577.6,605.8,412.6,4241.5
40,1984-11-01 00:00:00,1501.4,859.3,484.8,623.2,651.8,436.5,4557.1,1456.9,775.8,443,577.6,617.6,416.1,4287,1456.2,765.2,442.2,580.4,610.8,415.1,4270.9
41,1984-12-01 00:00:00,1686.6,1174.6,638.8,1039.4,820,488.1,5847.5,1469.2,778.2,441.3,580.7,613.1,419.2,4301.7,1468.5,768,447,585.3,615.2,418.1,4303
42,1985-01-01 00:00:00,1484.7,703,401.6,516.3,598.9,425.6,4130,1488.2,764.1,455,596.5,618.4,418.9,4341.1,1479.8,774.3,453,593.4,618.7,421.3,4339.8
43,1985-02-01 00:00:00,1397,669.4,368.2,452.5,577.9,391.8,3856.8,1492.9,766.4,466.6,606.6,621,425.8,4379.3,1491.7,783.4,459.1,604.2,620.4,425,4383.3
44,1985-03-01 00:00:00,1495,742.2,418.3,525.8,599.6,416.1,4196.9,1497.6,793.3,459.6,604.1,624.3,427.7,4406.6,1504.2,793.3,465.5,615.1,623.2,429.1,4431
45,1985-04-01 00:00:00,1474.9,721.6,450.3,587.7,574.6,419.8,4228.9,1513.6,813.8,467.4,624.1,621.7,436.1,4476.7,1517.5,807.2,471.6,625.2,627.1,433.8,4482.6
46,1985-05-01 00:00:00,1556.8,855.8,540.1,700.3,639.9,446.2,4739.1,1535.8,831.5,481.2,655,632.7,440.5,4576.7,1533.7,818.7,477.4,633,632.7,439.9,4535.2
47,1985-06-01 00:00:00,1453.7,742.3,452.3,561.8,573.5,406.8,4190.3,1543.2,829.9,487.9,632.6,639.2,442.3,4575.1,1551.7,827.9,482.8,638.2,638.6,447,4586.1
48,1985-07-01 00:00:00,1558.6,799.9,476.4,602.8,628.6,448.5,4514.6,1589.7,834.3,486.1,636.1,648,455.2,4649.3,1570.7,837,488.2,640.9,644.9,454.8,4635.5
49,1985-08-01 00:00:00,1585.7,815.5,467,582.5,649.6,466,4566.3,1573.7,832.8,493.5,639.1,652.2,464,4655.3,1588,845.3,494.7,642.5,650.6,463.1,4684.6
50,1985-09-01 00:00:00,1518,776.8,452.6,563.1,614.7,455.2,4380.3,1607.5,850.9,490.2,646.1,656.3,470.8,4721.8,1604.3,855.2,501.1,644.6,656.8,471,4734.3
51,1985-10-01 00:00:00,1655.7,881.3,522.9,637.1,667,493.6,4857.7,1627.3,864.6,509.3,648.6,657.3,481,4788.1,1618.7,866.9,506.1,647.3,663.7,477.9,4779.9
52,1985-11-01 00:00:00,1667.3,973.2,557.3,697.1,704.6,505.6,5105,1623.1,890.5,519.3,644,669.9,484.4,4831.2,1630.6,875.5,507.9,648.7,669.7,483,4814.6
53,1985-12-01 00:00:00,1867.3,1351.7,749.7,1187.5,908.1,563.9,6628.2,1647.4,895.3,515.5,651.6,681.2,486.1,4877.1,1641.6,877.9,507.3,649.2,675.9,487.3,4839.5
54,1986-01-01 00:00:00,1674.4,812.6,447,570.5,666.1,504.3,4674.9,1652.5,870.5,498.6,664,681.8,493.5,4860.9,1654.9,878.7,504.9,648.4,681.1,491.9,4860.4
55,1986-02-01 00:00:00,1558.5,763.6,399.4,478.2,641.5,452.9,4294.1,1666.9,874.8,505.7,647.4,692.1,492.8,4879.8,1668.2,881.1,503.8,648,687,497.2,4884.9
56,1986-03-01 00:00:00,1676.6,768,419.6,547.4,636.2,480.3,4528,1679,862.5,479.8,625.3,679.4,500.6,4826.5,1683.8,885.3,504.2,649.1,693,503.7,4919.1
57,1986-04-01 00:00:00,1643.7,827,504.5,594.3,662.4,497.2,4729,1694.9,898,511.2,643.4,701.3,511.7,4960.5,1701.7,893.9,507.9,653.3,698.5,511.6,4967.1
58,1986-05-01 00:00:00,1746.5,935.1,588.2,751.6,709.8,530.8,5261.9,1724.5,918.1,534.1,704.7,708.4,528.2,5118,1720.6,905,514.3,661.1,703.8,520.3,5024.2
59,1986-06-01 00:00:00,1638.5,833.6,485.7,553.4,641.8,484.8,4637.8,1751.1,922.9,518.1,631.9,712.5,524.5,5060.9,1736.3,917.3,518.9,670.4,710.3,528.2,5080.1
60,1986-07-01 00:00:00,1721.8,878.2,507.2,663.2,692.9,526.3,4989.5,1743.3,907.7,512,689.7,711.8,531,5095.5,1749.3,922.3,522.1,678.9,716.4,535.7,5125.6
61,1986-08-01 00:00:00,1720.9,898.1,484.5,581.1,700.8,538.4,4923.8,1757.9,945.5,531.2,688.5,723.3,548.7,5195,1757.6,924.2,524.3,685.1,721.9,541.7,5156.7
62,1986-09-01 00:00:00,1705.7,862.3,496.9,661.9,698.1,537.4,4962.2,1769.7,918,523,705.5,725.9,546.2,5188.3,1765.3,923.2,525.2,688.8,727.5,547.2,5177.8
63,1986-10-01 00:00:00,1816.4,950.6,545.5,665.6,756.7,570.4,5305.1,1763.5,918.5,522.3,684.6,737.5,550.9,5177.3,1772.3,922.4,525.6,691.6,733.3,552,5196.8
64,1986-11-01 00:00:00,1774.7,968.2,545.8,700.9,750.1,563.8,5303.5,1787.7,920.1,530.2,669.2,736.6,555.2,5199,1782.9,922.2,526.7,695,738.3,556.1,5220.3
65,1986-12-01 00:00:00,2073.6,1414,804.4,1367.9,1017,663.2,7340,1782.9,917.2,536.2,715.3,741.8,559.4,5252.8,1794.8,923.2,528.4,698.3,744.2,559.9,5247.4
66,1987-01-01 00:00:00,1830.7,861.1,461.1,613.9,726.9,571.6,5065.3,1807.6,928.9,518.7,705.4,753.1,563.3,5277,1807.3,925.3,528,700.4,751,562.7,5275.2
67,1987-02-01 00:00:00,1710.1,812.5,417.6,513.2,701.3,525.1,4679.8,1831,930.8,528.4,702.3,759.7,570.9,5323.2,1818.2,928.7,530.4,704.1,758.5,565.1,5306.3
68,1987-03-01 00:00:00,1791,862.3,479.3,599.9,716.8,543.6,4993,1833.9,939.3,538.4,711.4,757,564,5344,1829.1,934.2,535.4,708.9,766.1,568.4,5341.5
69,1987-04-01 00:00:00,1824.4,846.8,528.6,674.1,733.9,558.1,5166,1828.1,937,539.4,707.8,782.7,571.5,5366.6,1837.9,939,541.6,714.7,774.3,572.3,5380.2
70,1987-05-01 00:00:00,1823.3,933.6,585.4,714,764.8,565.1,5386.3,1848.4,944.9,552.6,709.4,781.6,576,5413,1846.3,948.3,550.8,720.3,782.8,577.3,5423.8
71,1987-06-01 00:00:00,1761.9,886.2,529.5,670.5,728.4,542.3,5118.9,1854.6,951.3,551.4,722.5,789.2,576.5,5445.4,1853.2,959.3,560,724.9,789.5,583.2,5470.8
72,1987-07-01 00:00:00,1856.9,958.9,579.7,720.9,779.7,598.6,5494.6,1851.2,976.6,575.1,760.4,792.3,598.4,5553.8,1860.4,976.9,568.9,727.3,795,589.7,5519.7
73,1987-08-01 00:00:00,1821,938.2,518.6,601.6,773.7,583.7,5236.7,1881.8,998.4,574.9,723.8,804.3,598.5,5581.7,1874.1,993.3,574,727,799.5,597.1,5564.9
74,1987-09-01 00:00:00,1830,953,563.1,672.3,783.9,592.7,5395.1,1883.5,1008.3,586,713.6,804.1,599.6,5595.2,1886,1009.5,576.1,726,802.5,603.1,5601.9
75,1987-10-01 00:00:00,1942.4,1058.8,596.6,709.1,814.1,623.3,5744.4,1889.1,1032.4,577.5,720.2,801.1,605.9,5626.2,1896.4,1020.8,575.8,725.9,803.9,607.2,5630
76,1987-11-01 00:00:00,1885.9,1084.6,587.2,743.2,822,621.9,5745,1915.8,1030.8,569.2,719.6,804.7,612.9,5652.9,1905.5,1029.4,574.8,728.2,804.9,609.6,5652.9
77,1987-12-01 00:00:00,2272.4,1576.1,864.5,1460.1,1109.6,739.8,8022.4,1934.7,1032.9,570.8,738.8,810.9,623,5711.1,1914.1,1037.4,577.2,733.8,804.5,611.3,5677.6
78,1988-01-01 00:00:00,1885.1,938.9,487,631,757.4,605,5304.4,1904.3,1032.5,559.1,758.3,801.3,603.9,5659.4,1921.8,1046.6,578.3,741.9,808.2,613.7,5711.3
79,1988-02-01 00:00:00,1845.2,968.3,502.6,551.1,773.5,586.1,5226.8,1911,1065.5,612.7,738.9,810.2,612.4,5750.7,1934.7,1055.8,585.1,749.8,812.2,619.2,5755.8
80,1988-03-01 00:00:00,2021.6,1035.6,551,678.1,818,625.3,5729.7,1950.5,1071.6,592.5,748.4,820.4,623.3,5806.5,1947.1,1067.8,589.9,754.8,819.4,627.5,5806.8
81,1988-04-01 00:00:00,1937.5,945.3,563.1,715.7,753.7,611.9,5527.3,1982.4,1061.8,588.6,765.9,823.7,640.3,5862.7,1959.8,1080.5,594.9,756.8,828.5,638.1,5858.9
82,1988-05-01 00:00:00,1907,1074.9,619.6,740.8,814.9,630.5,5787.8,1980.8,1102.1,596.5,763.9,842.3,650.8,5936.4,1972.3,1091,600.3,756.8,837.6,649.8,5908.5
83,1988-06-01 00:00:00,1925.7,1053.6,601.6,722,800.8,635.5,5739.2,1985.1,1110.5,608.1,756.6,852.7,663.7,5976.7,1983.8,1096.6,608.3,756.7,847.7,659.3,5953.1
84,1988-07-01 00:00:00,1932.6,1045.1,592.7,683.5,810.1,658.7,5722.7,1976.6,1100.2,611.2,752,856.4,672.2,5968.7,1998.6,1097.5,617.4,758.7,856.4,663.8,5992.9
85,1988-08-01 00:00:00,1977.6,1073.4,578,650.9,850.9,656.4,5787.3,2009.2,1103.5,625,753.8,867.2,665.4,6024.2,2020.1,1098.4,627.6,763.6,866.8,663.6,6037.7
86,1988-09-01 00:00:00,2035.2,1040.7,641.7,723.3,845.5,660,5946.3,2049.6,1083.5,653.1,764.9,868.4,659.1,6078.6,2043.5,1102.6,638.1,770.2,878.8,662.2,6095
87,1988-10-01 00:00:00,2050.7,1092.9,650.2,729.6,872.1,670.2,6065.8,2075.1,1099.2,653,783.8,889.9,665.9,6166.9,2071.3,1113.2,644.8,777.2,891.7,664.5,6162.4
88,1988-11-01 00:00:00,2109.5,1210.9,664.4,870.3,945,670.8,6470.9,2100.5,1124.3,633.8,794.9,904.3,654,6211.8,2099,1127.5,649.4,782.4,903.5,671.1,6234.6
89,1988-12-01 00:00:00,2549.7,1714.8,956.3,1570,1321.2,773.9,8885.8,2132.7,1155.1,637.3,790.5,924.2,668.1,6307.8,2121.6,1147.6,652,783.8,916.5,682.1,6301.5
90,1989-01-01 00:00:00,2056.1,1089.2,598,631.5,872.7,732.8,5980.3,2135.2,1197.8,684.3,779.1,941.7,721.1,6459.2,2138.8,1165.8,656.8,781.7,924.3,695.3,6356.4
91,1989-02-01 00:00:00,1990.2,1021.5,517,552,832.7,660.7,5574.1,2136,1161.7,652.5,761.5,913.8,713.4,6339.1,2152.7,1179.6,656.6,778.7,931,707.2,6400.6
92,1989-03-01 00:00:00,2261.2,1107,593,719,905.5,713.2,6299,2156.7,1176.6,651.9,788.1,930.7,716.8,6420.8,2163.2,1187.8,655.7,778,936,718.1,6438
93,1989-04-01 00:00:00,2104.6,1089,632.3,697.6,858.2,693.9,6075.7,2197.6,1200.1,655.6,779.9,941.3,719.2,6493.7,2178.6,1193.4,655.5,781.6,940.7,726.8,6475.5
