,Unnamed: 0,Turnover ;  Total (State) ;  Food retailing ;,Turnover ;  Total (State) ;  Household goods retailing ;,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Total (State) ;  Department stores ;,Turnover ;  Total (State) ;  Other retailing ;,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;",Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  Total (State) ;  Food retailing ;.1,Turnover ;  Total (State) ;  Household goods retailing ;.1,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;.1",Turnover ;  Total (State) ;  Department stores ;.1,Turnover ;  Total (State) ;  Other retailing ;.1,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;.1",Turnover ;  Total (State) ;  Total (Industry) ;.1,Turnover ;  Total (State) ;  Food retailing ;.2,Turnover ;  Total (State) ;  Household goods retailing ;.2,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;.2",Turnover ;  Total (State) ;  Department stores ;.2,Turnover ;  Total (State) ;  Other retailing ;.2,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;.2",Turnover ;  Total (State) ;  Total (Industry) ;.2
389,2013-12-01 00:00:00,10856.4,4963.8,2761.9,2725.5,4293.3,3536.8,29137.6,9414.5,3786.4,1762.2,1522,3223.9,3170.7,22879.8,9401.6,3781.8,1792,1520.2,3246.5,3166.4,22899.5
390,2014-01-01 00:00:00,9701.6,3810.6,1718.2,1451,3070.1,3209.1,22960.6,9506.7,3821.7,1772.5,1530.6,3238.8,3222.8,23093,9420.7,3815.1,1785,1514.1,3261,3204.6,22998.7
391,2014-02-01 00:00:00,8667.9,3362.4,1416.4,1064.9,2903.6,2879.9,20295,9418.5,3872.1,1791.1,1500.7,3291,3218.1,23091.5,9442.8,3846,1774.3,1507.8,3266.5,3231.4,23066.2
392,2014-03-01 00:00:00,9524.6,3627,1609.5,1293.2,3099.9,3232,22386.2,9451.2,3882.7,1768.4,1477.1,3260.6,3260,23100,9462.1,3868.9,1762,1504.7,3266.8,3249.4,23111.2
393,2014-04-01 00:00:00,9223.9,3460.9,1656.5,1442.9,3009.6,3182.1,21975.8,9457.9,3871.4,1758.7,1534.7,3272.9,3262.7,23158.2,9481.2,3883,1752.8,1502.9,3264.3,3258.4,23148.2
394,2014-05-01 00:00:00,9386,3653,1780.5,1411.8,3160.5,3228.3,22620.1,9495.4,3860.2,1731.5,1493.2,3261.6,3267.3,23109.2,9510.4,3894.8,1748.6,1501.4,3270.9,3265.9,23194.7
395,2014-06-01 00:00:00,8977.5,3844.1,1680.8,1461.6,3029.7,3067.5,22061.3,9566.9,3921.4,1742.5,1484,3268.2,3242.3,23225.2,9550.4,3903.7,1751.3,1501.5,3279.3,3274,23262
396,2014-07-01 00:00:00,9393.3,3878.1,1649,1501.6,3179.3,3315.8,22917.2,9603.2,3933.7,1752.2,1537.7,3275.7,3295.4,23397.9,9597.4,3915.6,1754.7,1503.1,3292.3,3283.8,23345.3
397,2014-08-01 00:00:00,9582.4,3846.1,1604.1,1254.2,3260.7,3350.7,22898.2,9645.4,3921.6,1772.6,1474.2,3324,3298.4,23436.2,9643.6,3926.5,1766.4,1506.7,3301.1,3292.9,23432.2
398,2014-09-01 00:00:00,9353.8,4033.2,1691.2,1356.4,3262.1,3360.4,23057.2,9672,4085,1784.3,1521.2,3310.5,3326.3,23699.4,9676.3,4098.9,1778,1510.9,3303.9,3303.9,23667.9
399,2014-10-01 00:00:00,9964.4,4278.7,1791.5,1478.7,3417.8,3401.6,24332.7,9707.4,4114.2,1800.9,1512.2,3344.6,3290.3,23769.6,9699.4,4111.1,1790.3,1515.9,3307.7,3314.9,23744.4
400,2014-11-01 00:00:00,9911.1,4421.3,1821,1687.7,3577.5,3374.9,24793.5,9743.9,4138,1784,1526.4,3267.9,3319,23779.3,9725.2,4124.5,1803,1521.5,3315.8,3327.8,23819.4
401,2014-12-01 00:00:00,11271.6,5357.5,2907,2756.9,4440.3,3692.7,30425.9,9736.5,4117.3,1828,1526.7,3304.4,3327.6,23840.4,9740.9,4140.8,1819.7,1526,3323.7,3340.9,23894.9
402,2015-01-01 00:00:00,9955.4,4157.9,1796.2,1471.2,3152.6,3391.3,23924.6,9722.8,4149.9,1830.2,1545.5,3333.5,3389.8,23971.6,9760.4,4160.2,1835.7,1528.1,3337.1,3354.9,23974.1
403,2015-02-01 00:00:00,9020,3682.4,1456.2,1053.8,2999.9,3027.5,21239.9,9807.9,4225.9,1836.7,1489.3,3398.7,3383.9,24142.4,9779.7,4180.7,1849.8,1527.6,3352,3363.2,24054.1
404,2015-03-01 00:00:00,9926.5,3983.5,1702,1367.2,3243.1,3361.9,23584.2,9795,4191.2,1873.8,1561.5,3373.3,3340.6,24135.5,9800.9,4199.3,1862.4,1527,3365.8,3374.8,24131.6
405,2015-04-01 00:00:00,9538,3713.9,1793.4,1442.2,3058.8,3266.5,22812.9,9815.2,4196.2,1905.1,1530.7,3355.3,3378.7,24181.2,9829,4221.1,1872.9,1529.4,3377.4,3382.1,24207.7
406,2015-05-01 00:00:00,9707.1,3976.9,1891.2,1428.7,3214.7,3314,23532.6,9866.4,4231.2,1878,1517.8,3370.9,3373.8,24238.2,9850.2,4244.2,1875.5,1534.7,3390.9,3390.8,24284.4
407,2015-06-01 00:00:00,9217.8,4319.2,1774.7,1480.9,3243.5,3257.5,23293.5,9887.8,4304.7,1820,1514.3,3434.4,3425.2,24386.3,9873.2,4268.7,1873.9,1543.2,3407.4,3397.9,24367
408,2015-07-01 00:00:00,9718,4186.1,1788.5,1540.9,3337.2,3445.3,24015.9,9883.3,4278.9,1896.1,1583.4,3401.9,3419,24462.6,9898,4295.6,1874.9,1553.4,3433.7,3403.2,24459
409,2015-08-01 00:00:00,9834.8,4159.8,1697.1,1331.9,3379.5,3421.1,23824.2,9918.6,4324.1,1882.9,1586.5,3455,3393,24560.1,9929.3,4323.2,1877.3,1564.4,3454.6,3410.5,24559.1
410,2015-09-01 00:00:00,9645.8,4273.9,1790.1,1400.1,3454.5,3444.4,24008.9,9941.2,4347.8,1895.4,1543.9,3507.5,3416.6,24652.4,9964.5,4347.1,1884.6,1574.9,3471.5,3412.6,24657.6
411,2015-10-01 00:00:00,10319.2,4567.9,1888.5,1566.3,3579.5,3525.8,25447.3,10015.6,4363.1,1888.2,1589.9,3500.9,3399.1,24756.8,9997.6,4365.9,1894.4,1584.4,3492.6,3414.9,24748.3
412,2015-11-01 00:00:00,10128.5,4692.8,1915.6,1730.5,3824.9,3491.3,25783.5,10040.9,4390.9,1891.1,1591.5,3490.2,3430.9,24835.5,10028.7,4383.3,1906.9,1590.4,3505.8,3419.7,24832.3
413,2015-12-01 00:00:00,11731.2,5735.9,3079.9,2913.6,4642.5,3819.9,31923,10070.2,4399.1,1918.1,1592.7,3484.5,3432.4,24897,10049.3,4398.3,1919.9,1593.5,3517,3427.9,24906.8
414,2016-01-01 00:00:00,10244.9,4376.7,1875.7,1519.2,3304.9,3431.8,24753.1,10051.8,4396.2,1940.1,1605.6,3554.5,3440.6,24988.8,10059.9,4408.3,1933.9,1594.9,3529.4,3441.9,24969.3
415,2016-02-01 00:00:00,9556.9,3979.6,1598.7,1155.8,3257,3186.9,22734.9,10048.6,4398.9,1956.9,1590.3,3550.7,3439.1,24984.3,10059.6,4409.9,1952,1594,3547.6,3449.3,25014.5
416,2016-03-01 00:00:00,10354,4097.4,1780.6,1451.5,3398.6,3435.2,24517.3,10084.5,4442.8,1973.9,1587.3,3558.7,3464.2,25111.4,10056.1,4402.2,1964.7,1589.1,3569,3462.2,25041.7
417,2016-04-01 00:00:00,9727.9,4064.9,1924.6,1451,3355.8,3451.7,23975.9,10028.9,4415,1981.2,1577.7,3585.3,3496.7,25084.8,10064.7,4384.9,1970.6,1581.1,3587.8,3479.2,25063.3
418,2016-05-01 00:00:00,9815.2,4092.5,1926.7,1449.7,3428.5,3431,24143.5,10085.9,4342.1,1937.9,1571.1,3609.2,3492.7,25038.9,10074.4,4371.4,1977.9,1572.2,3596.5,3501.5,25096.3
419,2016-06-01 00:00:00,9516.5,4357.3,1967.1,1596.1,3414.4,3313.9,24165.3,10099.8,4357.2,1998.9,1581.9,3609.5,3505.3,25152.6,10101.2,4372.6,1985.1,1562.2,3601.4,3529.8,25154.6
420,2016-07-01 00:00:00,9928.5,4225.1,1876.1,1468.3,3492.7,3573,24563.7,10102.4,4338.3,2002.9,1534.4,3616.5,3549,25143.6,10140.8,4390.7,1990,1552.2,3607.8,3559.5,25241.9
421,2016-08-01 00:00:00,10041.9,4239.4,1806.3,1293.9,3562.3,3647.5,24591.3,10207.2,4397.9,1994.5,1545.6,3581,3610.6,25336.8,10188.4,4422.9,1995.8,1543.9,3617.3,3586.4,25352.6
422,2016-09-01 00:00:00,10005.7,4469,1896.8,1393.5,3602.3,3696.3,25063.6,10259.5,4516.7,2009.9,1538.4,3627.4,3631.4,25583.2,10239.9,4461.2,2001.5,1538.6,3621.7,3606.7,25470.2
423,2016-10-01 00:00:00,10482.6,4696.8,1937.8,1497.4,3643.2,3716.6,25974.6,10267.4,4534.2,1986.8,1534.5,3629.5,3623.4,25575.8,10291.3,4489.3,2006.9,1535.7,3626.1,3620.5,25570.1
424,2016-11-01 00:00:00,10435.7,4874.4,2057.1,1684.3,4051.1,3678.5,26781.1,10354.3,4516.1,1985.4,1531,3653.2,3606.4,25646.2,10331.9,4496.9,2010,1536.4,3632.2,3625.9,25635
425,2016-12-01 00:00:00,12230.1,5782.3,3330.5,2850.4,4859.6,4047.3,33100.2,10367.8,4437.6,2049.4,1546.7,3652.4,3619.4,25673.4,10364.4,4486.8,2010.8,1540.8,3642.1,3627,25669
426,2017-01-01 00:00:00,10431.5,4463.5,1939.7,1428.5,3421.5,3621.4,25306.2,10388.7,4501.3,2038.4,1552.4,3620.5,3637.2,25738.4,10384.6,4472.3,2008.4,1547.7,3648.5,3627.8,25691.5
427,2017-02-01 00:00:00,9574.6,3897.6,1558.9,1092.4,3230.8,3260.6,22615,10415.1,4448.7,1974,1542.2,3639.8,3644.3,25663.9,10401.3,4468.4,2004.6,1554.8,3658.9,3637.9,25725.7
428,2017-03-01 00:00:00,10510.3,4196.9,1826.7,1370.3,3590.4,3619,25113.5,10380.6,4440.1,1981,1543.8,3693.1,3627.4,25666,10415.7,4480.5,2003.2,1559.7,3675.5,3649.1,25782.7
429,2017-04-01 00:00:00,10274.1,3994.9,1885.8,1522.6,3338.8,3567,24583.1,10426.6,4478.2,2014.6,1602.8,3697.6,3657.9,25877.6,10424.1,4502.4,2007,1559.9,3696.3,3661.4,25851.8
430,2017-05-01 00:00:00,10189.7,4291,2024.2,1452.4,3577.3,3598.6,25133.2,10454.6,4549.1,2012.7,1554.2,3715.5,3683.3,25969.4,10438.6,4524.1,2006.3,1556.4,3719.5,3672.1,25914.8
431,2017-06-01 00:00:00,9857.6,4659.4,1988.3,1557.2,3560.8,3544.2,25167.5,10459.9,4600.8,2004.8,1545.1,3723.1,3699.7,26033.4,10451.8,4530.4,2011,1551.5,3728.6,3681.5,25956.4
432,2017-07-01 00:00:00,10272.8,4365.1,1896.4,1445.5,3600.7,3698.1,25278.6,10474.2,4528.9,2040,1536.4,3752,3703.1,26034.5,10468.2,4522.6,2017,1547.8,3728.7,3689.5,25975.6
433,2017-08-01 00:00:00,10363.7,4347.3,1839.3,1303.1,3710.9,3711.2,25275.4,10452.4,4497.2,2016.4,1527.7,3748.5,3659.7,25901.9,10497.5,4504.2,2019.9,1546.2,3724.3,3694.6,25984.8
434,2017-09-01 00:00:00,10307.9,4384.6,1891.6,1407.2,3627.8,3729.7,25348.7,10539.6,4456.1,2011.4,1557.6,3707,3688.5,25960.3,10528.8,4486.2,2022,1546.9,3719.1,3704.7,26005.5
435,2017-10-01 00:00:00,10710.9,4639,1948.2,1518.3,3709.6,3871.1,26397.1,10574,4450.7,2013,1569.7,3679.9,3730.8,26018.1,10568.2,4482.3,2026.5,1549.2,3719,3717.7,26055.2
436,2017-11-01 00:00:00,10780.7,5025,2139.4,1730.4,4203.7,3828.1,27707.3,10598.7,4607.7,2036.5,1543.8,3784.5,3747.7,26319,10605.5,4494.7,2035.6,1549.7,3719,3733.2,26134.6
437,2017-12-01 00:00:00,12552.1,5901.4,3297.7,2822.6,4890.3,4174.9,33639,10689.4,4571.1,2055.9,1550.8,3733.7,3747.3,26348.2,10645.8,4525,2039.5,1547.1,3727.7,3745.8,26229.3
438,2018-01-01 00:00:00,10713.3,4516.1,1967.4,1413.1,3587.3,3698.8,25896,10667.7,4571.1,2052.5,1535.2,3754.6,3746.2,26327.3,10689.9,4555.3,2051.7,1545.1,3739,3754.4,26324.5
439,2018-02-01 00:00:00,9833.2,4023.6,1632.2,1099.4,3334.5,3377.8,23300.7,10691.3,4582.5,2072.1,1546.3,3764,3773.7,26429.8,10723.6,4579.8,2059.4,1546,3747.2,3753.3,26408.4
440,2018-03-01 00:00:00,11188.4,4327.6,1884.8,1416.2,3651.9,3749.1,26218,10777.6,4569.9,2038.4,1546.2,3752.2,3738,26422.3,10761.1,4594.5,2065.4,1550.2,3753.4,3752.8,26481.5
441,2018-04-01 00:00:00,10354.1,4131.3,1913.2,1402.7,3402.6,3679.3,24883.3,10811.7,4615,2055.7,1536.2,3758.1,3772,26548.7,10799.6,4598.6,2069.5,1556.1,3770.5,3759.3,26552
442,2018-05-01 00:00:00,10645.2,4370.8,2123.9,1518,3629.7,3666.6,25954.1,10842.9,4606.3,2101.2,1595.9,3766.6,3734.3,26647.1,10833.2,4597,2075.7,1561.3,3784.6,3770.9,26627.6
443,2018-06-01 00:00:00,10268.2,4659.6,2099.3,1587.2,3611.7,3601.3,25827.2,10861,4607.7,2103,1571.1,3787.8,3786.6,26717.2,10865.6,4596.1,2087.3,1564.1,3812,3791.7,26710.9
444,2018-07-01 00:00:00,10604.4,4420.4,1918.7,1426.7,3721.4,3844,25935.6,10890.2,4565.3,2078.9,1546.4,3858.7,3816.7,26756.2,10895.8,4596.5,2093.3,1564.9,3834.2,3808.7,26796.3
445,2018-08-01 00:00:00,10852.2,4434.8,1919.5,1343.6,3882.2,3908.3,26340.6,10920.7,4585.8,2092.9,1557,3892.9,3851.9,26901.3,10926,4597.9,2098.6,1563.2,3863.8,3822.1,26871.3
446,2018-09-01 00:00:00,10713.8,4467.8,1915.4,1398.8,3704.7,3863.4,26063.9,10965.4,4595.4,2086,1565.4,3870.1,3855.1,26937.5,10962.4,4598.8,2104,1560.2,3880.2,3829.3,26934.3
447,2018-10-01 00:00:00,11126.1,4779.9,2082.5,1524.8,3965.3,3929.1,27407.7,11006.1,4634,2134.9,1564.3,3888.3,3811.9,27039.4,11005.7,4598.8,2108.2,1556.4,3886.8,3831.3,26990.7
448,2018-11-01 00:00:00,11214.7,5100,2268.7,1745.1,4346.5,3934.2,28609.2,11039.4,4613.3,2125,1553.8,3888,3793.3,27012.7,11057.8,4596.5,2115.2,1553.1,3889.8,3838.1,27046.6
449,2018-12-01 00:00:00,13037.6,5826.5,3351.8,2813.5,5053.1,4278.9,34361.4,11121.6,4555.7,2099.6,1555.3,3880.9,3856.4,27069.5,11109.9,4587.2,2121.7,1551,3887,3843.9,27102.2
450,2019-01-01 00:00:00,11253.8,4518.6,2027.6,1409.6,3711.7,3826.7,26748,11130,4574.4,2119.2,1526.9,3892.6,3869.2,27112.2,11159.4,4574.5,2127.8,1550.2,3887.8,3858.4,27156.4
451,2019-02-01 00:00:00,10308.6,4020.5,1690.8,1115.2,3458.1,3456,24049.2,11216.4,4572.7,2148.1,1564.9,3902.3,3866.5,27270.9,11198.1,4562.3,2131.8,1551.4,3891,3871.7,27207.3
452,2019-03-01 00:00:00,11405.1,4325.4,1970.6,1355.7,3706.7,3897.1,26660.6,11266.8,4564.2,2153.3,1545.4,3878,3910.3,27317.9,11220.4,4556,2137.7,1554.6,3902.4,3884.3,27253.4
453,2019-04-01 00:00:00,10964.8,4086.4,1996.7,1474.6,3606.5,3808.2,25937.2,11241.3,4529.7,2126.8,1566.8,3910.2,3878.4,27253.3,11221.2,4558.2,2144.6,1558.8,3915.7,3892.8,27295.3
454,2019-05-01 00:00:00,11024.2,4345.5,2167.9,1512,3829.4,3829,26708,11214.3,4567.5,2136.5,1572,3937.1,3882.9,27310.2,11221.7,4566.9,2151.9,1561.8,3936.6,3898.1,27334.9
455,2019-06-01 00:00:00,10587.6,4590.4,2134.9,1570.2,3722.7,3706,26311.9,11167.7,4585.8,2176.3,1561.7,3973.8,3912.7,27378,11222.8,4580.6,2159,1564.3,3961.1,3896.6,27382.8
456,2019-07-01 00:00:00,10949.7,4431.4,2005.3,1439.2,3873.3,3903.5,26602.4,11234.8,4603.3,2158.3,1552.8,3971.5,3907.8,27428.6,,,,,,,
457,2019-08-01 00:00:00,11294.6,4480.6,2030.1,1381.4,3969.8,3948.4,27104.8,11262.5,4621.6,2192,1577.9,3992.3,3890.4,27536.7,,,,,,,
458,2019-09-01 00:00:00,10946.6,4491.2,1981.3,1384.2,3853.6,3926.6,26583.6,11322.4,4627.7,2182.4,1578.9,4004.5,3904.4,27620.4,,,,,,,
459,2019-10-01 00:00:00,11565.4,4793.9,2126.9,1544.5,4069.3,4043.2,28143.2,11374.2,4637.5,2175.2,1570.8,3993.7,3908.1,27659.5,,,,,,,
460,2019-11-01 00:00:00,11643.3,5172.5,2404,1826.3,4408.9,4067.3,29522.2,11441.4,4684.5,2228,1617.7,3965.6,3954.3,27891.4,,,,,,,
461,2019-12-01 00:00:00,13292.7,6024.6,3474.3,2819.9,5191.2,4389.3,35192.1,11445.1,4663.6,2186.1,1585.2,3971.6,3916,27767.6,,,,,,,
462,2020-01-01 00:00:00,11576,4563.4,2086.8,1417.3,3789.7,3890.1,27323.3,11444.6,4615.7,2185,1532.2,3955.4,3924.9,27657.7,,,,,,,
463,2020-02-01 00:00:00,11064.6,4214.4,1718.2,1180.2,3629.8,3621.3,25428.4,11554,4635.7,2102.8,1582.2,3971.1,3945.8,27791.6,,,,,,,
464,2020-03-01 00:00:00,14310.5,4752.4,1452.4,1241.4,4395.4,3007.1,29159.2,14342.6,5022.2,1602,1444.4,4602.4,3017.2,30030.8,,,,,,,
465,2020-04-01 00:00:00,11652.9,4532.7,703.9,1177,3645.2,1907.9,23619.5,11838.1,5056.7,753.5,1228,3966.7,1953.5,24796.5,,,,,,,
466,2020-05-01 00:00:00,12505.2,5607.6,1740.7,1697.2,4131.3,2499.1,28181.1,12635.1,5863.4,1725.2,1764.6,4311.7,2535.2,28835.2,,,,,,,
467,2020-06-01 00:00:00,11944.4,5756.6,2055.3,1557.7,4142.6,3111.8,28568.4,12721.4,5704.7,2073.6,1564.2,4340.8,3255.6,29660.3,,,,,,,
468,2020-07-01 00:00:00,12685.4,5764.9,2104.2,1528,4467.8,3458,30008.2,12901.2,5980.5,2247.6,1618.9,4575.5,3429.3,30753,,,,,,,
469,2020-08-01 00:00:00,12758.2,5336.9,1798,1236.8,4204.6,3229.6,28564.2,12878.1,5587.3,1975.9,1475.7,4330.5,3221.4,29469,,,,,,,
470,2020-09-01 00:00:00,12367.9,5272.7,1821.5,1360.2,4170.9,3342.5,28335.7,12737.9,5381.6,1976.7,1500.7,4299.6,3332.5,29228.9,,,,,,,
471,2020-10-01 00:00:00,13027.3,5565.9,2083.7,1562.4,4462.9,3615.8,30318,12729.5,5359.6,2114,1569.3,4364.6,3480.7,29617.8,,,,,,,
472,2020-11-01 00:00:00,12768,6525.9,2757.6,2070.7,5172.7,3805.6,33100.4,12707.3,5988.5,2604.2,1864.6,4692.3,3698.8,31555.8,,,,,,,
473,2020-12-01 00:00:00,14684.1,7065,3868.9,3012.7,5939.5,4260.1,38830.4,12581.2,5514,2410.1,1678.5,4503.1,3829.9,30516.7,,,,,,,
474,2021-01-01 00:00:00,12845.7,5447.4,2237.5,1514,4300.6,3783.9,30129,12669.1,5506.4,2372,1649.4,4546.9,3826.1,30569.9,,,,,,,
475,2021-02-01 00:00:00,11359.1,4879.3,1872.8,1197.7,4008.5,3440.4,26757.8,12350.5,5535.2,2385.8,1673.1,4534.8,3853.2,30332.5,,,,,,,
476,2021-03-01 00:00:00,12539.7,5337.3,2297.3,1600.2,4491.2,4044.9,30310.7,12297,5544.4,2470.8,1804,4584.1,4025.6,30725.9,,,,,,,
477,2021-04-01 00:00:00,11981.3,5011.2,2387.6,1596.8,4252.1,4017.5,29246.6,12373.2,5605.9,2539.2,1691.2,4648.8,4101.7,30960,,,,,,,
478,2021-05-01 00:00:00,12310.8,5249.2,2519.6,1602.1,4468,4043.1,30192.8,12487.4,5551.9,2506.3,1671.9,4670.7,4119.5,31007.7,,,,,,,
479,2021-06-01 00:00:00,11922.3,5551.9,2265.2,1560.2,4410.4,3696.9,29406.8,12655.1,5514.1,2297.7,1563.9,4642.1,3891,30563.8,,,,,,,
480,2021-07-01 00:00:00,12788.2,5199.7,1841.5,1313.9,4558.3,3447.7,29149.3,12910.9,5392.5,1969.1,1381.2,4680.2,3427.4,29761.4,,,,,,,
481,2021-08-01 00:00:00,12977.1,5057.1,1471.6,1032.5,4593.1,3219.9,28351.3,13224.5,5257.4,1627.1,1245.8,4716.3,3190.8,29261.9,,,,,,,
482,2021-09-01 00:00:00,12743.8,5330.7,1616.5,1137.6,4678.1,3369.8,28876.5,13075.4,5487.7,1757,1248.1,4825.1,3363.3,29756.7,,,,,,,
483,2021-10-01 00:00:00,13224,5907.5,2173.8,1493.4,4959.2,3916.1,31674.1,12981.5,5702.2,2241,1521.1,4910.7,3776.1,31132.7,,,,,,,
484,2021-11-01 00:00:00,12696,7018.2,3241,2106.2,5860.2,4222.7,35144.3,12683.6,6401.3,3016.1,1892.1,5246.7,4105.2,33345,,,,,,,
485,2021-12-01 00:00:00,15164.3,7442.1,4136.7,2765.5,6683.3,4580.5,40772.5,12944.2,5792.8,2557,1528.3,5053.3,4092.2,31967.9,,,,,,,
486,2022-01-01 00:00:00,13380.8,5722.6,2371.1,1446.9,4952.1,3997.3,31870.7,13221.4,5846.5,2527.3,1580.6,5246.2,4069.9,32492,,,,,,,
487,2022-02-01 00:00:00,11860.5,5279.2,2205.5,1259.6,4583.2,3995.3,29183.3,12881.2,5983.3,2809.9,1756.5,5189,4465.5,33085.4,,,,,,,
488,2022-03-01 00:00:00,13052.6,5875.3,2608.7,1599.3,5103.4,4554.2,32793.5,12939.6,6188.2,2824.2,1828.2,5290.5,4555.5,33626.1,,,,,,,
489,2022-04-01 00:00:00,13033.5,5463.1,2767.8,1725,4898.5,4610.4,32498.3,13182.7,6023.3,2912.8,1782.5,5317.8,4704,33923.1,,,,,,,
490,2022-05-01 00:00:00,12903.6,5769,2873.4,1767.6,5195.9,4748.9,33258.5,13196.8,6046.6,2871.3,1873.6,5396.8,4787.1,34172,,,,,,,
491,2022-06-01 00:00:00,12469.6,6010.8,2868.6,1817.9,5166.2,4672.5,33005.5,13160.9,6028.6,2907.5,1805.1,5422.7,4914.6,34239.3,,,,,,,
492,2022-07-01 00:00:00,13171.5,5750.9,2775.1,1760.3,5295.1,5013,33765.9,13324,5959.8,3003.9,1872.8,5506.9,5001.9,34669.3,,,,,,,
